,amount,transaction_time,location,customer_age,card_type,purchase_category
468,3955.66,748,0,47,1,2
469,6572.35,749,11,56,1,1
470,3934.07,750,47,49,3,4
471,5774.42,751,4,64,3,1
472,7500.76,752,49,63,3,0
473,6881.13,753,21,62,2,0
474,9879.63,754,27,26,1,4
475,2265.89,755,32,49,3,4
476,6442.58,756,2,30,3,1
477,1565.45,757,28,18,0,4
478,6942.49,758,37,25,2,4
479,7535.66,759,38,70,3,0
480,7164.86,800,2,55,2,3
481,8932.9,801,8,57,1,1
482,9693.11,802,37,45,2,5
483,8001.35,803,7,57,3,1
484,4957.08,804,14,68,2,0
485,9159.28,805,33,55,3,4
486,6952.42,806,36,37,0,3
487,3072.49,807,31,43,3,4
488,7560.45,808,25,41,3,0
489,3035.55,809,30,68,0,5
490,2100.35,810,47,68,0,0
491,6386.1,811,40,69,1,4
492,9515.99,812,6,27,2,4
493,1918.16,813,14,24,0,5
494,172.04,814,6,48,0,5
495,2964.88,815,43,36,1,2
496,2078.8,816,2,41,2,0
497,8278.29,817,32,59,2,2
498,6808.01,818,13,43,3,1
499,679.55,819,17,38,3,1
500,4531.47,820,48,53,1,4
501,1198.34,821,35,55,0,5
502,9449.3,822,25,62,1,3
503,6619.23,823,19,52,1,4
504,115.58,824,3,52,2,2
505,5979.63,825,31,35,2,3
506,3438.26,826,9,30,2,0
507,3755.41,827,42,69,0,3
508,3044.83,828,39,53,3,4
509,6196.39,829,27,45,2,3
510,9196.36,830,9,53,0,3
511,6355.84,831,19,36,2,1
512,5937.43,832,42,70,2,1
513,6794.38,833,25,37,1,2
514,9770.36,834,17,32,2,4
515,5004.95,835,10,62,0,0
516,3521.45,836,33,53,2,1
517,2565.26,837,45,19,3,0
518,4741.24,838,28,60,0,0
519,7980.34,839,43,43,3,5
520,7531.65,840,32,51,2,4
521,7700.18,841,23,35,3,1
522,4232.79,842,23,24,1,5
523,5875.38,843,31,70,0,0
524,8807.55,844,16,37,0,3
525,9491.73,845,5,41,0,5
526,6851.63,846,17,47,3,3
527,9946.44,847,44,54,0,4
528,3805.87,848,9,40,2,2
529,9628.05,849,0,40,3,4
530,7592.9,850,29,65,2,5
531,877.42,851,4,69,0,2
532,2529.04,852,0,64,0,0
533,929.57,853,36,69,2,1
534,2461.44,854,23,68,0,5
535,8307.99,855,22,47,3,2
536,6316.68,856,32,30,1,1
537,949.12,857,33,53,0,3
538,3804.71,858,18,22,0,4
539,3380.45,859,7,39,3,0
540,6040.05,900,7,58,2,5
541,4698.1,901,17,45,2,0
542,3235.5,902,33,63,2,3
543,5530.73,903,49,46,3,4
544,7043.36,904,25,54,1,5
545,4517.48,905,4,56,3,5
546,6141.04,906,48,48,2,2
547,958.59,907,41,59,0,1
548,6841.4,908,14,26,0,1
549,5938.36,909,20,51,3,1
550,6755.67,910,24,23,0,0
551,292.08,911,41,40,2,4
552,5067.88,912,2,45,3,1
553,700.31,913,19,23,3,2
554,1820.52,914,44,30,3,4
555,2754.66,915,25,59,1,5
556,5654.85,916,42,19,1,3
557,8015.06,917,45,26,3,2
558,5361.27,918,4,68,2,5
559,7246.07,919,20,58,2,5
560,2539.51,920,3,32,0,3
561,1185.51,921,31,28,2,4
562,5172.2,922,1,68,2,4
563,1747.45,923,10,48,1,1
564,4522.74,924,13,43,1,2
565,8537.02,925,32,31,2,2
566,407.77,926,37,56,1,1
567,6015.19,927,28,23,1,1
568,4273.05,928,30,43,0,2
569,6871.21,929,24,63,0,5
570,9685.96,930,40,58,0,3
571,777.44,931,21,67,1,0
572,4826.64,932,23,57,1,3
573,2497.94,933,4,36,3,4
574,3879.16,934,28,67,1,5
575,7447.86,935,41,56,2,3
576,6542.18,936,42,49,1,1
577,1774.55,937,3,31,0,3
578,3773.43,938,39,67,1,0
579,3029.74,939,12,70,2,1
580,2241.99,940,4,54,0,0
581,8657.0,941,26,46,0,3
582,5839.86,942,1,43,0,4
583,4938.58,943,44,51,3,2
584,7141.14,944,9,47,0,1
585,8086.1,945,20,61,1,3
586,9480.93,946,2,62,3,2
587,1169.73,947,32,42,2,0
588,1652.69,948,2,41,1,4
589,1328.67,949,2,55,1,4
590,9788.18,950,3,44,1,2
591,6056.01,951,2,36,3,3
592,246.55,952,27,49,0,3
593,4966.5,953,6,24,2,5
594,7945.43,954,4,52,2,2
595,4305.43,955,27,68,2,2
596,7087.0,956,41,23,0,0
597,8977.92,957,46,61,2,3
598,3689.2,958,4,48,1,2
599,5439.41,959,26,40,3,4
600,4192.06,1000,13,32,2,1
601,345.03,1001,3,35,3,1
602,4368.55,1002,41,20,0,5
603,7023.46,1003,2,55,3,0
604,678.72,1004,5,45,3,4
605,881.56,1005,14,24,2,4
606,8779.03,1006,32,58,0,4
607,6650.38,1007,11,54,2,1
608,4751.51,1008,17,58,2,0
609,5076.06,1009,1,57,3,5
610,2439.89,1010,25,46,1,4
611,9279.4,1011,38,67,2,3
612,1383.9,1012,11,58,1,0
613,250.85,1013,45,40,0,5
614,872.91,1014,31,25,2,3
615,1876.04,1015,40,23,0,5
616,1973.21,1016,10,69,1,4
617,6602.02,1017,22,49,1,4
618,5463.73,1018,41,38,2,0
619,5578.11,1019,38,44,2,3
620,4784.02,1020,47,31,3,0
621,9708.95,1021,9,70,2,4
622,6566.06,1022,12,69,3,4
623,5825.38,1023,44,36,2,4
624,1167.34,1024,2,70,1,4
625,407.16,1025,12,35,3,3
626,2032.45,1026,14,21,3,2
627,3010.43,1027,2,44,2,4
628,7468.96,1028,3,21,1,1
629,3913.19,1029,31,27,0,1
630,3724.87,1030,1,25,2,5
631,5106.86,1031,8,20,0,3
632,131.53,1032,16,55,0,1
633,5250.39,1033,17,24,1,3
634,2666.22,1034,21,42,3,5
635,5309.89,1035,38,70,0,0
636,3040.41,1036,11,68,2,2
637,8116.5,1037,27,29,3,0
638,3202.1,1038,37,45,3,1
639,2444.32,1039,36,57,1,0
640,4809.09,1040,30,44,2,0
641,2143.47,1041,6,57,2,4
642,6643.72,1042,30,44,3,4
643,4787.97,1043,40,48,1,3
644,2149.08,1044,6,28,0,4
645,1732.46,1045,39,67,3,0
646,5534.8,1046,36,67,3,4
647,6274.03,1047,15,47,3,1
648,8588.34,1048,22,68,0,5
649,718.48,1049,9,50,0,1
650,6674.15,1050,19,62,2,3
651,8579.88,1051,2,33,1,2
652,1462.57,1052,39,31,0,1
653,7607.58,1053,34,29,2,4
654,4782.11,1054,39,69,1,2
655,9898.77,1055,4,69,0,2
656,735.18,1056,4,29,0,2
657,1655.68,1057,36,42,0,2
658,6273.14,1058,23,31,2,4
659,4140.95,1059,9,49,2,1
660,6259.98,1100,48,30,1,2
661,9376.71,1101,15,22,3,4
662,8281.48,1102,4,54,0,2
663,4069.85,1103,14,44,2,0
664,7526.19,1104,29,68,2,0
665,438.66,1105,41,51,3,1
666,3211.67,1106,6,29,3,2
667,3952.34,1107,5,37,1,0
668,1934.13,1108,40,30,2,5
669,7267.69,1109,27,44,2,0
670,3743.09,1110,21,55,1,0
671,4503.79,1111,26,50,1,3
672,8365.36,1112,36,22,2,2
673,2254.96,1113,31,66,0,0
674,9076.0,1114,16,26,2,5
675,4798.86,1115,34,20,1,2
676,9494.39,1116,46,20,3,4
677,5100.38,1117,41,45,1,0
678,4071.25,1118,34,48,0,4
679,8719.99,1119,11,53,1,0
680,6357.09,1120,14,62,3,1
681,2420.99,1121,7,57,3,0
682,5217.37,1122,43,46,2,1
683,4976.36,1123,22,28,2,3
684,759.8,1124,31,45,0,2
685,6002.22,1125,35,47,2,5
686,4178.99,1126,42,25,3,2
687,5621.25,1127,9,41,3,5
688,7047.7,1128,14,45,3,4
689,7772.71,1129,29,55,3,3
690,7731.45,1130,24,23,3,4
691,409.09,1131,16,58,1,4
692,2781.12,1132,30,37,2,5
693,2815.53,1133,15,64,2,5
694,6505.17,1134,33,63,0,5
695,9866.92,1135,26,47,1,3
696,3421.41,1136,39,69,1,2
697,8364.88,1137,3,18,1,1
698,6056.91,1138,15,22,0,4
699,9194.07,1139,24,28,0,5
700,8555.24,1140,49,57,1,0
701,4704.42,1141,6,70,0,4
702,4883.0,1142,3,52,1,1
703,7576.6,1143,42,31,3,0
704,8396.68,1144,39,61,1,1
705,5899.72,1145,38,67,2,4
706,5606.27,1146,4,55,0,1
707,6825.02,1147,0,65,1,4
708,5997.43,1148,0,67,3,5
709,7860.3,1149,24,34,2,4
710,1381.3,1150,0,61,0,5
711,3377.38,1151,29,40,0,3
712,6917.33,1152,19,36,1,0
713,9752.51,1153,44,23,2,1
714,5332.06,1154,29,68,2,3
715,6167.5,1155,20,42,2,5
716,638.71,1156,32,35,0,4
717,6294.92,1157,12,42,1,5
718,9342.27,1158,26,19,0,3
719,8748.77,1159,12,49,1,5
720,5948.39,1200,18,61,0,1
721,2286.14,1201,38,24,3,4
722,9268.93,1202,23,40,0,3
723,3248.4,1203,10,20,0,3
724,2401.75,1204,23,18,1,3
725,1920.75,1205,41,45,2,2
726,9723.68,1206,35,58,0,0
727,1926.55,1207,43,62,3,2
728,3356.63,1208,15,61,1,0
729,6764.24,1209,2,43,0,5
730,2792.44,1210,42,40,1,0
731,5981.63,1211,34,28,2,3
732,6700.15,1212,47,53,0,1
733,1891.64,1213,9,39,3,3
734,6134.41,1214,29,30,0,0
735,7871.06,1215,7,21,3,2
736,8024.42,1216,42,20,1,1
737,6886.44,1217,16,34,1,3
738,1907.76,1218,36,38,1,0
739,6862.94,1219,17,41,0,4
740,7129.08,1220,16,48,0,4
741,5533.5,1221,22,62,1,4
742,2052.6,1222,29,59,0,0
743,4632.28,1223,35,50,1,2
744,5205.93,1224,45,43,3,2
745,1180.94,1225,17,52,3,0
746,7230.2,1226,30,69,2,5
747,2921.7,1227,49,39,2,5
748,2477.8,1228,37,57,1,0
749,5985.33,1229,49,29,0,1
750,6338.11,1230,23,27,2,1
751,3380.35,1231,37,27,2,3
752,8873.86,1232,0,26,1,3
753,8097.68,1233,42,65,0,4
754,3756.24,1234,3,21,0,4
755,3922.39,1235,14,19,2,3
756,7173.24,1236,49,67,3,4
757,9325.51,1237,38,42,3,0
758,4596.2,1238,38,68,2,3
759,3420.58,1239,16,40,2,4
760,2554.71,1240,35,64,2,5
761,729.78,1241,37,61,0,4
762,1253.05,1242,40,57,3,1
763,3771.85,1243,8,48,0,5
764,5511.33,1244,35,59,0,4
765,3936.88,1245,47,46,0,1
766,674.8,1246,48,37,1,4
767,8121.79,1247,42,59,0,2
768,2555.56,1248,37,25,2,2
769,4955.61,1249,33,37,1,2
770,9348.16,1250,43,35,2,4
771,5510.94,1251,16,26,2,2
772,8213.37,1252,15,58,1,4
773,5116.07,1253,42,21,1,2
774,4210.73,1254,19,23,1,5
775,2664.36,1255,3,50,3,4
776,9815.96,1256,36,60,0,2
777,6284.85,1257,12,18,3,5
778,4900.7,1258,44,31,0,5
779,1089.71,1259,1,36,2,2
780,4377.35,1300,20,27,1,0
781,3138.29,1301,37,18,0,5
782,1405.88,1302,19,63,2,3
783,1237.94,1303,21,42,3,2
784,7603.64,1304,19,64,2,3
785,9941.96,1305,36,53,1,5
786,419.94,1306,26,47,3,0
787,712.1,1307,11,29,3,5
788,1083.54,1308,36,22,2,1
789,5356.87,1309,30,49,1,5
790,1282.95,1310,8,19,2,4
791,967.95,1311,33,35,2,0
792,7432.8,1312,42,64,2,0
793,4238.41,1313,13,45,3,2
794,408.97,1314,30,44,3,1
795,6606.37,1315,18,51,2,0
796,608.2,1316,12,48,0,3
797,1123.21,1317,24,59,2,0
798,9768.59,1318,22,68,0,4
799,7198.52,1319,7,19,2,0
800,2849.04,1320,4,60,2,4
801,2414.4,1321,20,69,2,0
802,2212.17,1322,9,63,0,2
803,6040.58,1323,2,60,3,0
804,7519.75,1324,10,53,3,2
805,9279.24,1325,45,25,0,0
806,3541.98,1326,13,69,1,1
807,2371.26,1327,43,49,2,1
808,239.31,1328,4,57,0,3
809,5845.36,1329,40,42,3,3
810,7625.89,1330,1,27,1,3
811,1726.7,1331,11,25,1,4
